ΕΠΑΡΧΙΑ,ΘΕΜΑ,ΕΠΙΠΕΔΟ,ΚΕΝΤΡΟΕΠΙΜΟΡΦΩΣΗΣ,ΩΡΑΔΙΕΞΑΓΩΓΗΣ,ΗΜΕΡΑΔΙΕΞΑΓΩΓΗΣ
ΑΜΜΟΧΩΣΤΟΣ,ΑΓΙΟΓΡΑΦΙΑ,Α+Β,ΑΙΘΟΥΣΑ ΕΚΚΛΗΣΙΑΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ ΠΑΡΑΛΙΜΝΙ,18.30-20.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΑΙΣΘΗΤΙΚΗ – ΜΑΓΙΚΙΑΖ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΕΡΥΝΕΙΑΣ Γ',18.00-19.30,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΒΑΣΙΚΕΣ ΔΕΞΙΟΤΗΤΕΣ ΠΛΗΡΟΦΟΡΙΚΗΣ,Α,"ΓΥΜΝΑΣΙΟ-ΛΥΚΕΙΟ ""ΕΙΡΗΝΗΣ ΚΑΙ ΕΛΕΥΘΕΡΙΑΣ"" ΔΕΡΥΝΕΙΑΣ-ΣΩΤΗΡΑΣ (ΕΞΑΤΑΞΙΟ)",18.30-20.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΒΑΣΙΚΕΣ ΔΕΞΙΟΤΗΤΕΣ ΠΛΗΡΟΦΟΡΙΚΗΣ,Β,"ΓΥΜΝΑΣΙΟ-ΛΥΚΕΙΟ ""ΕΙΡΗΝΗΣ ΚΑΙ ΕΛΕΥΘΕΡΙΑΣ"" ΔΕΡΥΝΕΙΑΣ-ΣΩΤΗΡΑΣ (ΕΞΑΤΑΞΙΟ)",17.00-18.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΑΓΓΛΙΚΗ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.30-20.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΑΓΓΛΙΚΗ,Β,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,17.00-18.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΑΓΓΛΙΚΗ,Γ,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.30-20.00,ΠΕΜΠΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΓΕΡΜΑΝΙΚΗ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.30-21.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΓΕΡΜΑΝΙΚΗ,Β,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,16.30-18.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΓΕΡΜΑΝΙΚΗ,Γ,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.00-19.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΕΛΛΗΝΙΚΗ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.00-20.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΕΛΛΗΝΙΚΗ,Β,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,17.30-19.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΙΣΠΑΝΙΚΗ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,16.30-18.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΙΣΠΑΝΙΚΗ,Β,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.00-19.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΙΤΑΛΙΚΗ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.30-21.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΙΤΑΛΙΚΗ,Β,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.00-19.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΙΤΑΛΙΚΗ,Γ,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,16.30-18.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΡΩΣΙΚΗ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.00-20.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΡΩΣΙΚΗ,Β,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.15-20.45,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΡΩΣΙΚΗ,Γ,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.15-20.45,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΤΟΥΡΚΙΚΗ,Α,ΛΥΚΕΙΟ ΚΟΚΚΙΝΟΧΩΡΙΩΝ ΦΩΤΗ ΠΙΤΤΑ,17.00-18.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΤΟΥΡΚΙΚΗ,Β,ΛΥΚΕΙΟ ΚΟΚΚΙΝΟΧΩΡΙΩΝ ΦΩΤΗ ΠΙΤΤΑ,18.30-20.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΛΩΣΣΑ ΤΟΥΡΚΙΚΗ,Γ,ΛΥΚΕΙΟ ΚΟΚΚΙΝΟΧΩΡΙΩΝ ΦΩΤΗ ΠΙΤΤΑ,18.30-20.00,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΦΡΕΝΑΡΟΥΣ,17.30-19.00,ΠΕΜΠΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΩΤΗΡΑΣ Γ΄ (ΕΝΙΑΙΟ ΟΛΟΗΜΕΡΟ),16.30-18.00,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΩΤΗΡΑΣ Γ΄ (ΕΝΙΑΙΟ ΟΛΟΗΜΕΡΟ),17.30-19.00,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΑΣΟΥΣ ΑΧΝΑΣ - ΦΩΤΗΣ ΠΙΤΤΑΣ,18.00-19.30,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΙΟΠΕΤΡΙΟΥ Β',17.30-19.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΙΟΠΕΤΡΙΟΥ Β',18.30-20.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΕΡΥΝΕΙΑΣ Γ',19.00-20.30,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,17.00-18.30,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.00-19.30,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.00-20.30,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ - ΒΡΥΣΟΥΛΩΝ - ΑΧΕΡΙΤΟΥ,19.00-20.30,ΠΕΜΠΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΝΩΡΙΣΤΕ ΤΗΝ ΚΥΠΡΟ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΥΓΟΡΟΥ Α',18.00-19.30,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΥΓΟΡΟΥ Α',19.00-20.30,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΥΓΟΡΟΥ Α',19.00-20.30,ΠΕΜΠΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΡΑΛΙΜΝΙΟΥ Δ',18.00-19.30,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΡΑΛΙΜΝΙΟΥ Δ',18.30-20.00,ΠΕΜΠΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΥΜΝΑΣΤΙΚΗ – ΓΕΝΙΚΗΣ ΕΚΓΥΜΝΑΣΗΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΦΡΕΝΑΡΟΥΣ,17.30-19.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΡΑΛΙΜΝΙΟΥ Δ',17.00-17.45,ΔΕΥ/ΠΕΜ
ΑΜΜΟΧΩΣΤΟΣ,ΓΥΜΝΑΣΤΙΚΗ – ΠΙΛΑΤΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΡΑΛΙΜΝΙΟΥ Δ',17.45-18.30,ΔΕΥ/ΠΕΜ
ΑΜΜΟΧΩΣΤΟΣ,ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ – ΒΑΣΙΚΑ ΘΕΜΑΤΑ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.00-19.30,ΠΕΜΠΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΖΩΓΡΑΦΙΚΗ,—,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.00-19.30,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΖΩΓΡΑΦΙΚΗ,—,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.30-21.00,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΖΩΓΡΑΦΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΙΟΠΕΤΡΙΟΥ Β',19.00-20.30,ΠΑΡΑΣΚΕΥΗ
ΑΜΜΟΧΩΣΤΟΣ,ΖΩΓΡΑΦΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΑΣΟΥΣ ΑΧΝΑΣ - ΦΩΤΗΣ ΠΙΤΤΑΣ,18.30-20.00,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΖΩΓΡΑΦΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΕΡΥΝΕΙΑΣ Γ',17.30-19.00,ΠΕΜΠΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΖΩΓΡΑΦΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΕΡΥΝΕΙΑΣ Γ',19.00-20.30,ΠΕΜΠΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΖΩΓΡΑΦΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΦΡΕΝΑΡΟΥΣ,17.00-18.30,ΠΑΡΑΣΚΕΥΗ
ΑΜΜΟΧΩΣΤΟΣ,ΘΕΑΤΡΙΚΟ ΕΡΓΑΣΤΗΡΙ,Α+Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΡΑΛΙΜΝΙΟΥ Δ',18.30-20.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΚΟΠΤΙΚΗ – ΡΑΠΤΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΕΡΥΝΕΙΑΣ Γ',17.00-18.30,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΚΟΠΤΙΚΗ – ΡΑΠΤΙΚΗ,Α+Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΩΤΗΡΑΣ Γ΄ (ΕΝΙΑΙΟ ΟΛΟΗΜΕΡΟ),19.00-20.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΚΟΠΤΙΚΗ – ΡΑΠΤΙΚΗ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΕΡΥΝΕΙΑΣ Γ',18.30-20.00,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΛΟΓΙΣΤΙΚΗ – ΒΑΣΙΚΑ ΘΕΜΑΤΑ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.30-21.00,ΠΕΜΠΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΛΟΓΙΣΤΙΚΗ – ΒΑΣΙΚΑ ΘΕΜΑΤΑ,Β,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.00-19.30,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΛΟΓΙΣΤΙΚΗ – ΒΑΣΙΚΑ ΘΕΜΑΤΑ,Γ,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,19.30-21.00,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΜΑΓΕΙΡΙΚΗ – ΖΑΧΑΡΟΠΛΑΣΤΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΕΡΥΝΕΙΑΣ Γ',18.00-19.30,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΜΑΓΕΙΡΙΚΗ – ΖΑΧΑΡΟΠΛΑΣΤΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΕΡΥΝΕΙΑΣ Γ',18.00-19.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΜΑΓΕΙΡΙΚΗ – ΖΑΧΑΡΟΠΛΑΣΤΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΕΡΥΝΕΙΑΣ Γ',18.00-19.30,ΠΕΜΠΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΜΑΓΕΙΡΙΚΗ – ΖΑΧΑΡΟΠΛΑΣΤΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΦΡΕΝΑΡΟΥΣ,18.00-19.30,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΝΟΗΜΑΤΙΚΗ ΓΛΩΣΣΑ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΩΤΗΡΑΣ Γ΄ (ΕΝΙΑΙΟ ΟΛΟΗΜΕΡΟ),17.30-19.00,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΞΥΛΟΓΛΥΠΤΙΚΗ,—,ΛΥΚΕΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,17.30-19.00,ΠΕΜΠΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΩΤΗΡΑΣ Γ΄ (ΕΝΙΑΙΟ ΟΛΟΗΜΕΡΟ),19.00-20.30,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,17.30-19.00,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΩΤΗΡΑΣ Γ΄ (ΕΝΙΑΙΟ ΟΛΟΗΜΕΡΟ),17.30-19.00,ΤΕΤΑΡΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΦΩΤΟΓΡΑΦΙΚΗ ΤΕΧΝΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΩΤΗΡΑΣ Γ΄ (ΕΝΙΑΙΟ ΟΛΟΗΜΕΡΟ),18.30-20.00,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΧΕΙΡΟΠΟΙΗΤΑ ΚΟΣΜΗΜΑΤΑ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΕΡΥΝΕΙΑΣ Γ',18.30-20.00,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΧΕΙΡΟΤΕΧΝΙΚΕΣ ΔΗΜΙΟΥΡΓΙΕΣ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΕΡΥΝΕΙΑΣ Γ',17.00-18.30,ΔΕΥΤΕΡΑ
ΑΜΜΟΧΩΣΤΟΣ,ΧΕΙΡΟΤΕΧΝΙΚΕΣ ΔΗΜΙΟΥΡΓΙΕΣ,—,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,17.00-18.30,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΧΟΡΟΙ – ΠΑΡΑΔΟΣΙΑΚΟΙ ΕΛΛΗΝΙΚΟΙ,Α,ΚΟΙΝΟΤΙΚΟΣ ΧΩΡΟΣ ΔΑΣΟΥΣ ΑΧΝΑΣ,18.00-19.30,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΧΟΡΟΙ – ΠΑΡΑΔΟΣΙΑΚΟΙ ΕΛΛΗΝΙΚΟΙ,Α+Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΡΑΛΙΜΝΙΟΥ Δ',16.30-18.00,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΧΟΡΟΙ – ΠΑΡΑΔΟΣΙΑΚΟΙ ΕΛΛΗΝΙΚΟΙ,Β,ΚΟΙΝΟΤΙΚΟΣ ΧΩΡΟΣ ΔΑΣΟΥΣ ΑΧΝΑΣ,19.30-21.00,ΤΡΙΤΗ
ΑΜΜΟΧΩΣΤΟΣ,ΨΥΧΟΛΟΓΙΑ – ΒΑΣΙΚΑ ΘΕΜΑΤΑ,Α,ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΜΝΙΟΥ,18.00-19.30,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΑΓΙΟΓΡΑΦΙΑ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,17.00-18.30,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΑΓΙΟΓΡΑΦΙΑ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΙΤΙΟΥ,16.30-18.00,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΑΓΙΟΓΡΑΦΙΑ,Α,ΚΑΛΛΙΝΙΚΕΙΟΣ ΟΙΚΙΑ ΑΘΗΕΝΟΥ,17.00-18.30,ΠΑΡΑΣΚΕΥΗ
ΛΑΡΝΑΚΑ,ΑΓΙΟΓΡΑΦΙΑ,Α+Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΞΥΛΟΦΑΓΟΥ Α',16.30-18.00,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΑΓΙΟΓΡΑΦΙΑ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,17.00-18.30,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΑΓΙΟΓΡΑΦΙΑ,Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΙΤΙΟΥ,18.00-19.30,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΑΓΙΟΓΡΑΦΙΑ,Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,18.30-20.00,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΑΙΣΘΗΤΙΚΗ – ΜΑΓΙΚΙΑΖ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΘΑΡΗΣ - ΔΗΜΗΤΡΗ ΛΙΠΕΡΤΗ,17.30-19.00,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΑΙΣΘΗΤΙΚΗ – ΜΑΓΙΚΙΑΖ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΘΑΡΗΣ - ΔΗΜΗΤΡΗ ΛΙΠΕΡΤΗ,17.30-19.00,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΑΡΧΙΤΕΚΤΟΝΙΚΟ ΣΧΕΔΙΟ (AUTOCAD),Α,ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΑΓΙΟΥ ΛΑΖΑΡΟΥ ΛΑΡΝΑΚΑΣ,18.00-19.30,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΑΡΧΙΤΕΚΤΟΝΙΚΟ ΣΧΕΔΙΟ (AUTOCAD),Β,ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΑΓΙΟΥ ΛΑΖΑΡΟΥ ΛΑΡΝΑΚΑΣ,19.30-21.00,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΒΑΣΙΚΕΣ ΔΕΞΙΟΤΗΤΕΣ ΠΛΗΡΟΦΟΡΙΚΗΣ,Α,ΓΥΜΝΑΣΙΟ ΒΕΡΓΙΝΑ,17.30-19.00,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΒΑΣΙΚΕΣ ΔΕΞΙΟΤΗΤΕΣ ΠΛΗΡΟΦΟΡΙΚΗΣ,Β,ΓΥΜΝΑΣΙΟ ΒΕΡΓΙΝΑ,17.00-18.30,ΤΡΙΤΗ
ΛΑΡΝΑΚΑ,ΒΑΣΙΚΕΣ ΔΕΞΙΟΤΗΤΕΣ ΠΛΗΡΟΦΟΡΙΚΗΣ,Γ,ΓΥΜΝΑΣΙΟ ΒΕΡΓΙΝΑ,17.30-19.00,ΔΕΥΤΕΡΑ
ΛΑΡΝΑΚΑ,ΒΥΖΑΝΤΙΝΗ ΜΟΥΣΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΘΑΡΗΣ - ΔΗΜΗΤΡΗ ΛΙΠΕΡΤΗ,19.00-20.30,ΠΕΜΠΤΗ
ΛΑΡΝΑΚΑ,ΒΥΖΑΝΤΙΝΗ ΜΟΥΣΙΚΗ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,18.00-19.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΕΩΠΟΝΙΚΑ – ΒΑΣΙΚΑ ΘΕΜΑΤΑ,Α+Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΡΟΣΙΑΣ (ΚΒ) - «ΜΙΧΑΛΑΚΗΣ ΠΑΡΙΔΗΣ»,18.00-19.30,ΤΕΤΑΡΤΗ
ΛΑΡΝΑΚΑ,ΓΙΟΓΚΑ,—,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΖΗΝΩΝ,18.00-18.45,ΤΡΙ/ΠΑΡ
