ΕΠΑΡΧΙΑ,ΘΕΜΑ,ΕΠΙΠΕΔΟ,ΚΕΝΤΡΟΕΠΙΜΟΡΦΩΣΗΣ,ΩΡΑΔΙΕΞΑΓΩΓΗΣ,ΗΜΕΡΑΔΙΕΞΑΓΩΓΗΣ
ΛΕΜΕΣΟΣ,ΛΟΓΙΣΤΙΚΗ – ΒΑΣΙΚΑ ΘΕΜΑΤΑ,Α,ΘΕΚΛΕΙΟ ΓΥΜΝΑΣΙΟ,18.00-19.30,ΤΡΙΤΗ
ΛΕΜΕΣΟΣ,ΛΟΓΙΣΤΙΚΗ – ΒΑΣΙΚΑ ΘΕΜΑΤΑ,Β,ΘΕΚΛΕΙΟ ΓΥΜΝΑΣΙΟ,19.30-21.00,ΤΡΙΤΗ
ΛΕΜΕΣΟΣ,ΜΑΓΕΙΡΙΚΗ – ΖΑΧΑΡΟΠΛΑΣΤΙΚΗ,Α,ΚΟΙΝΟΤΙΚΟΣ ΧΩΡΟΣ ΒΟΥΝΙΟΥ,17.30-19.00,ΔΕΥΤΕΡΑ
ΛΕΜΕΣΟΣ,ΜΑΓΕΙΡΙΚΗ – ΖΑΧΑΡΟΠΛΑΣΤΙΚΗ,Α,ΟΙΚΗΜΑ ΕΠΙΜΟΡΦΩΤΙΚΩΝ ΚΕΝΤΡΩΝ,08.00-09.30,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΜΑΓΕΙΡΙΚΗ – ΖΑΧΑΡΟΠΛΑΣΤΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΙΓ' (ΚΒ) - ΑΓΙΟΥ ΣΠΥΡΙΔΩΝΑ Α',18.30-20.00,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΜΑΓΕΙΡΙΚΗ – ΖΑΧΑΡΟΠΛΑΣΤΙΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΝΩ ΠΟΛΕΜΙΔΙΩΝ - ΚΑΡΜΙΩΤΙΣΣΑΣ,15.00-16.30,ΤΕΤΑΡΤΗ
ΛΕΜΕΣΟΣ,ΜΑΓΕΙΡΙΚΗ – ΖΑΧΑΡΟΠΛΑΣΤΙΚΗ,Α+Β,ΚΟΙΝΟΤΙΚΟΣ ΧΩΡΟΣ ΜΟΝΙΑΤΗ,16.00-17.30,ΔΕΥΤΕΡΑ
ΛΕΜΕΣΟΣ,ΜΑΓΕΙΡΙΚΗ – ΖΑΧΑΡΟΠΛΑΣΤΙΚΗ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΙΑ' (ΚΒ) - ΤΣΙΡΕΙΟ,17.30-19.00,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΜΑΓΕΙΡΙΚΗ – ΖΑΧΑΡΟΠΛΑΣΤΙΚΗ,Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΙΑ' (ΚΒ) - ΤΣΙΡΕΙΟ,19.00-20.30,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΜΑΓΕΙΡΙΚΗ – ΖΑΧΑΡΟΠΛΑΣΤΙΚΗ,Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΙΑ' (ΚΒ) - ΤΣΙΡΕΙΟ,15.00-16.30,ΤΡΙΤΗ
ΛΕΜΕΣΟΣ,ΜΑΓΕΙΡΙΚΗ ΓΑΛΛΙΚΗ,Α+Β,ΓΥΜΝΑΣΙΟ ΛΙΝΟΠΕΤΡΑΣ,18.00-19.30,ΔΕΥΤΕΡΑ
ΛΕΜΕΣΟΣ,ΜΑΓΕΙΡΙΚΗ ΙΤΑΛΙΚΗ,Α,ΓΥΜΝΑΣΙΟ ΛΙΝΟΠΕΤΡΑΣ,19.30-21.00,ΔΕΥΤΕΡΑ
ΛΕΜΕΣΟΣ,ΜΑΓΕΙΡΙΚΗ ΚΥΠΡΙΑΚΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΙΓ' (ΚΒ) - ΑΓΙΟΥ ΣΠΥΡΙΔΩΝΑ Α',17.00-18.30,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΜΑΓΕΙΡΙΚΗ ΚΥΠΡΙΑΚΗ,Α,ΟΙΚΗΜΑ ΕΠΙΜΟΡΦΩΤΙΚΩΝ ΚΕΝΤΡΩΝ,09.30-11.00,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΜΑΓΕΙΡΙΚΗ ΚΥΠΡΙΑΚΗ,Α,ΘΕΚΛΕΙΟ ΓΥΜΝΑΣΙΟ,17.00-18.30,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΜΑΡΚΕΤΙΝΓΚ – ΒΑΣΙΚΑ ΘΕΜΑΤΑ,—,(θα καθοριστεί αργότερα σε συνεργασία με τους ενδιαφερομένους και τον εκπαιδευτή),—,—
ΛΕΜΕΣΟΣ,ΜΟΥΣΙΚΟ ΕΡΓΑΣΤΗΡΙ – ΧΟΡΩΔΙΑ,Α+Β,ΚΟΙΝΟΤΙΚΟΣ ΧΩΡΟΣ ΛΑΝΙΑΣ,09.30-11.00,ΔΕΥΤΕΡΑ
ΛΕΜΕΣΟΣ,ΜΟΥΣΙΚΟ ΕΡΓΑΣΤΗΡΙ – ΧΟΡΩΔΙΑ,Α+Β,ΓΥΜΝΑΣΙΟ ΟΜΟΔΟΥΣ,10.30-12.00,ΣΑΒΒΑΤΟ
ΛΕΜΕΣΟΣ,ΜΟΥΣΙΚΟ ΟΡΓΑΝΟ – ΑΡΜΟΝΙΟ,Α,ΓΥΜΝΑΣΙΟ ΟΜΟΔΟΥΣ,09.00-10.30,ΣΑΒΒΑΤΟ
ΛΕΜΕΣΟΣ,ΜΟΥΣΙΚΟ ΟΡΓΑΝΟ – ΑΡΜΟΝΙΟ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΚΒ' - ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,19.30-21.00,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΜΟΥΣΙΚΟ ΟΡΓΑΝΟ – ΒΙΟΛΙ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΚΒ' - ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,19.30-21.00,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΜΟΥΣΙΚΟ ΟΡΓΑΝΟ – ΚΙΘΑΡΑ,Α+Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΚΒ' - ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,19.30-21.00,ΤΡΙΤΗ
ΛΕΜΕΣΟΣ,ΜΟΥΣΙΚΟ ΟΡΓΑΝΟ – ΜΠΟΥΖΟΥΚΙ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΚΒ' - ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,18.00-19.30,ΔΕΥΤΕΡΑ
